Name,Address,Rooms,District,AGA Division,PS/MC/UC,Logitiute,Latitude
OCEAN BEACH CLUB,"PATUWATHA,DODANDUWA,HIKADUWA",16,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.118766,6.116199
ORIENT HOTEL,"NO.12,DHARMAPALA MAWATHA,BANDARAWELA",35,Badulla,Bandarawela Pradeshiya Sabha,Bandarawela Divisional Secretariat,80.987658,6.833521
AMAGI LAGOON RESORT AND SPA,"640/82,COLOMBO ROAD,KURANA,NEGAMBO",22,Gampaha,Negombo,Negombo Divisional Secretariat,79.85484,7.190497
THE RAINFOREST,"ENSELWATTE ESTATE, DENIYAYA.",16,Matara,Kotapola Pradeshiya Sabha,Kotapola Divisional Secretariat,80.596512,6.389513
KAMILI BEACH VILLA,"NO.531,FIRST STATION ROAD,WASKADUWA,KALUTARA",24,Kalutara,Kalutara Pradeshiya Sabha,Kalutara Divisional Secretariat,79.940258,6.629886
STAR LIGHT HOTEL,"GALLE ROAD,80615,TALPE",14,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.271503,5.998994
RANDIYA HOTEL,"394/19A,MUDITHA MAWATHA,ANURADHAPURA",14,Anuradhapura,Anuradhapura,Anuradhapura East,80.418003,8.330308
P.T. GARDEN HOTEL,"NO.540A/4,SAMURDHI MAWATHA,WALGAMA,MALWANA",21,Gampaha,Biyagama Pradeshiya Sabha,Biyagama Divisional Secretariat,80.005875,6.963166
CORAL REEF BEACH HOTEL,"336,GALLE ROAD,HIKKADUWA",30,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,NULL,NULL
PEACOCK BEACH HOTEL LTD,"TISSA ROAD,HAMBANTOTA",111,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.131521,6.133387
